EdgeID,from_id,to_id,Timestamp,Amount Sent,Sent Currency,Amount Received,Received Currency,Payment Format,Is Laundering
175,178,14,745810.0,1165.99,10,1165.99,10,5,0
176,168,14,745990.0,956.19,10,956.19,10,5,0
177,139,14,747490.0,802.66,10,802.66,10,5,0
178,120,14,749650.0,1309.63,10,1309.63,10,5,0
179,89,14,751150.0,2281.94,10,2281.94,10,5,0
180,107,14,751930.0,131.4,10,131.4,10,5,0
181,173,14,752410.0,130.46,10,130.46,10,5,0
182,97,14,752830.0,1982.27,10,1982.27,10,5,0
183,103,14,754450.0,291.75,10,291.75,10,5,0
184,87,14,757270.0,1783.12,10,1783.12,10,5,0
185,116,14,758110.0,505.39,10,505.39,10,5,0
186,164,14,759010.0,292.49,10,292.49,10,5,0
187,108,14,759250.0,263.2,10,263.2,10,5,0
188,137,14,759490.0,975.1,10,975.1,10,5,0
189,141,14,762370.0,921.99,10,921.99,10,5,0
190,19,14,763510.0,8176.81,10,8176.81,10,5,0
191,169,14,770590.0,1025.45,10,1025.45,10,5,0
192,110,14,771130.0,734.64,10,734.64,10,5,0
193,56,14,774070.0,4063.2,10,4063.2,10,5,0
194,47,14,776830.0,11088.24,10,11088.24,10,5,0
195,42,35,787150.0,13374.44,5,13374.44,5,4,0
196,6,38,834910.0,1511.1,1,1511.1,1,1,0
197,6,34,849010.0,12.05,1,12.05,1,2,0
198,6,34,849310.0,183.18,1,183.18,1,1,0
199,11,37,929650.0,1303.49,5,1303.49,5,4,0
200,3,1,951430.0,10.73,0,10.73,0,2,0
201,8,35,952090.0,50.75,5,50.75,5,2,0
202,14,27,976690.0,112880.41,10,112880.41,10,1,0
203,14,27,977110.0,15268.81,10,15268.81,10,2,1
204,5,4,995110.0,1003.96,0,1003.96,0,5,0
205,5,4,995350.0,3230.81,0,3230.81,0,1,0
206,2,33,1005430.0,399.16,0,399.16,0,5,0
207,33,4,1005970.0,2339.34,0,2339.34,0,3,1
208,34,38,1015690.0,12428.01,1,12428.01,1,1,0
209,8,8,1018390.0,1059.3,5,158.16,0,3,0
210,9,35,1024150.0,34847.14,5,34847.14,5,1,0
211,6,34,1028830.0,183.18,1,183.18,1,1,0
212,34,38,1045270.0,12428.01,1,12428.01,1,1,0
213,37,37,1073890.0,172.65,5,25.78,0,3,0
214,9,35,1075150.0,2849.99,5,2849.99,5,4,0
215,9,35,1075930.0,34847.14,5,34847.14,5,1,0
216,11,37,1112590.0,25178.83,5,25178.83,5,2,0
217,2,33,1117450.0,167.36,0,167.36,0,1,0
218,9,35,1186870.0,34847.14,5,34847.14,5,1,0
219,42,35,1189810.0,23460.24,5,23460.24,5,1,0
220,11,37,1203190.0,1303.49,5,1303.49,5,4,0
221,11,37,1203850.0,34390.67,5,34390.67,5,1,0
222,1,39,1253530.0,13237.72,1,13237.72,1,3,1
223,13,13,1260190.0,172.54,10,172.54,10,5,0
224,13,13,1260670.0,1833.01,10,1833.01,10,1,0
225,9,35,1267750.0,34847.14,5,34847.14,5,1,0
226,9,35,1268590.0,2849.99,5,2849.99,5,4,0
227,34,38,1290550.0,8340.16,1,8340.16,1,5,0
228,80,14,1297810.0,2039.29,10,2039.29,10,5,0
229,180,14,1297990.0,1214.33,10,1214.33,10,5,0
230,14,41,1298890.0,3544.81,10,3544.81,10,2,0
231,31,14,1300090.0,7482.62,10,7482.62,10,5,0
232,6,34,1301410.0,7112.13,1,7112.13,1,5,0
233,127,14,1301770.0,1344.74,10,1344.74,10,5,0
234,93,14,1302730.0,2176.35,10,2176.35,10,5,0
235,28,14,1304530.0,15309.38,10,15309.38,10,5,0
236,104,14,1305970.0,559.27,10,559.27,10,5,0
237,24,14,1306330.0,2730.21,10,2730.21,10,5,0
238,32,14,1309210.0,2713.79,10,2713.79,10,5,0
239,84,14,1309330.0,883.87,10,883.87,10,5,0
240,30,14,1313470.0,4219.77,10,4219.77,10,5,0
241,76,14,1314370.0,27.38,10,27.38,10,5,0
242,16,14,1315810.0,2886.44,10,2886.44,10,5,0
243,135,14,1317850.0,512.46,10,512.46,10,5,0
244,153,14,1318090.0,542.67,10,542.67,10,5,0
245,131,14,1320430.0,960.24,10,960.24,10,5,0
246,164,14,1320730.0,292.49,10,292.49,10,5,0
247,160,14,1323970.0,393.93,10,393.93,10,5,0
248,75,14,1324390.0,1396.29,10,1396.29,10,5,0
249,17,14,1325350.0,6301.01,10,6301.01,10,5,0
250,109,14,1327810.0,959.17,10,959.17,10,5,0
251,5,4,1329070.0,3230.81,0,3230.81,0,1,0
252,129,14,1330990.0,1669.34,10,1669.34,10,5,0
253,86,14,1331770.0,2286.92,10,2286.92,10,5,0
254,163,14,1332850.0,278.33,10,278.33,10,5,0
255,49,14,1333330.0,1444.39,10,1444.39,10,5,0
256,40,14,1334890.0,2318.65,10,2318.65,10,5,0
257,102,14,1337590.0,970.4,10,970.4,10,5,0
258,169,14,1338130.0,1025.45,10,1025.45,10,5,0
259,58,14,1339750.0,1856.46,10,1856.46,10,5,0
260,68,14,1340530.0,145.86,10,145.86,10,5,0
261,45,14,1343170.0,12361.44,10,12361.44,10,5,0
262,176,14,1343410.0,175.68,10,175.68,10,5,0
263,48,14,1344010.0,13496.26,10,13496.26,10,5,0
264,14,27,1347730.0,161397.54,10,161397.54,10,5,0
265,79,14,1347790.0,539.46,10,539.46,10,5,0
266,128,14,1349350.0,700.82,10,700.82,10,5,0
267,155,14,1349530.0,1801.98,10,1801.98,10,5,0
268,52,14,1350010.0,2894.52,10,2894.52,10,5,0
269,126,14,1350850.0,1022.15,10,1022.15,10,5,0
270,92,14,1352350.0,1105.68,10,1105.68,10,5,0
271,115,14,1354030.0,837.31,10,837.31,10,5,0
272,168,14,1355410.0,956.19,10,956.19,10,5,0
273,36,14,1357570.0,4354.74,10,4354.74,10,5,0
274,9,35,1359610.0,34847.14,5,34847.14,5,1,0
275,71,14,1360450.0,1200.35,10,1200.35,10,5,0
276,117,14,1362490.0,355.28,10,355.28,10,5,0
277,116,14,1364890.0,505.39,10,505.39,10,5,0
278,19,14,1365190.0,8176.81,10,8176.81,10,5,0
279,67,14,1365310.0,1579.6,10,1579.6,10,5,0
280,148,14,1365730.0,936.94,10,936.94,10,5,0
281,44,14,1366030.0,1425.28,10,1425.28,10,5,0
282,85,14,1367470.0,108.12,10,108.12,10,5,0
283,82,14,1368610.0,175.67,10,175.67,10,5,0
284,161,14,1369150.0,1684.39,10,1684.39,10,5,0
285,137,14,1369150.0,975.1,10,975.1,10,5,0
286,142,14,1369750.0,767.91,10,767.91,10,5,0
287,34,38,1370530.0,8340.16,1,8340.16,1,5,0
288,150,14,1371190.0,357.0,10,357.0,10,5,0
289,42,35,1371250.0,23460.24,5,23460.24,5,1,0
290,65,14,1371730.0,1393.05,10,1393.05,10,5,0
291,59,14,1372750.0,657.07,10,657.07,10,5,0
292,151,14,1373830.0,2665.82,10,2665.82,10,5,0
293,144,14,1374970.0,327.16,10,327.16,10,5,0
294,147,14,1375210.0,130.63,10,130.63,10,5,0
295,146,14,1376830.0,701.45,10,701.45,10,5,0
296,10,37,1379950.0,8834.93,5,8834.93,5,2,0
297,111,14,1380310.0,176.41,10,176.41,10,5,0
298,55,14,1381330.0,6246.51,10,6246.51,10,5,0
299,66,14,1381390.0,196.26,10,196.26,10,5,0
300,181,182,1382390.0,9500.0,0,9500.0,0,4,1
301,182,183,1382490.0,9310.0,0,9310.0,0,4,1
302,183,181,1382590.0,9120.0,0,9120.0,0,4,1
303,184,185,1383390.0,150000.0,0,150000.0,0,4,1
304,185,186,1383490.0,148500.0,0,148500.0,0,4,1
305,186,187,1383590.0,147000.0,0,147000.0,0,4,1
306,187,188,1383690.0,145500.0,0,145500.0,0,4,1
307,188,184,1383790.0,144000.0,0,144000.0,0,4,1
